"","tag","contagem"
"1","acoustica_local",2
"2","acustica_local",3
"3","area_criancas",6
"4","bebidas_nao_alcoolicas",9
"5","cervejas_artesanais",12
"6","fotos_cardapio",7
"7","mais_fotos_cardapio",7
"8","mais_opcoes_bebidas_nao_alcoolicas",2
"9","mais_opcoes_cervejas_artesanais",5
"10","mais_opcoes_pratos_veganos",1
"11","mais_opcoes_sobremesas_sem_gluten",3
"12","menos_ruido",4
"13","menos_tempo_espera",1
"14","noite_tematica",11
"15","pratos_veganos",14
"16","reserva_online",2
"17","reservas_online",12
"18","sobremesas_sem_gluten",9
"19","tempo_espera",7
"20","tempo_espera_atendimento",2
"21",NA,NA
